일련번호,검색량년월,출처ID,대표키워드명,검색어명,검색량값,출처분류명
31848,Mar-23,997,2014 안양시민축제,안양시민축제,170,문화축제
31849,Mar-23,992,2015 안양 시민축제,안양시민축제,170,문화축제
31850,Mar-23,396,2016 대가야체험축제,대가야체험축제,530,문화축제
31851,Mar-23,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
31852,Mar-23,994,2016 안양 시민축제,안양시민축제,170,문화축제
31853,Mar-23,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,80,문화축제
31854,Mar-23,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,110,문화축제
31855,Mar-23,283,2017 겨울공주군밤축제,겨울공주군밤축제,130,문화축제
31856,Mar-23,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
31857,Mar-23,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,18,문화축제
31858,Mar-23,1001,2017 안양 시민축제,안양시민축제,170,문화축제
31859,Mar-23,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,6050,문화축제
31860,Mar-23,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,600,문화축제
31861,Mar-23,4,2017 영동곶감축제,영동곶감축제,160,문화축제
31862,Mar-23,385,2017 음식 문화축제,음식문화축제,40,문화축제
31863,Mar-23,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,5780,문화축제
31864,Mar-23,287,2018 계룡산산신제,계룡산산신제,100,문화축제
31865,Mar-23,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,260,문화축제
31866,Mar-23,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
31867,Mar-23,1123,2018 무안황토갯벌축제,무안황토갯벌축제,100,문화축제
31868,Mar-23,799,2018 안산 김홍도축제,안산김홍도축제,60,문화축제
31869,Mar-23,1005,2018 안양 시민축제,안양시민축제,170,문화축제
31870,Mar-23,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,6050,문화축제
31871,Mar-23,313,2018 연제고분판타지축제,연제고분판타지축제,6010,문화축제
31872,Mar-23,386,2018 음식 문화축제,음식문화축제,40,문화축제
31873,Mar-23,501,2018 전주비빔밥축제,전주비빔밥축제,520,문화축제
31874,Mar-23,464,2018 제8회 광나루 어울마당,광나루어울마당,14,문화축제
31875,Mar-23,444,2018 종로한복축제,종로한복축제,170,문화축제
31876,Mar-23,1094,2019 강남페스티벌,강남페스티벌,190,문화축제
31877,Mar-23,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,5780,문화축제
31878,Mar-23,296,2019 계룡산산신제,계룡산산신제,100,문화축제
31879,Mar-23,609,2019 고양가을꽃축제,고양가을꽃축제,60,문화축제
31880,Mar-23,597,2019 고양국제꽃박람회,고양국제꽃박람회,7740,문화축제
31881,Mar-23,602,2019 고양행주문화제,고양행주문화제,740,문화축제
31882,Mar-23,610,2019 고양호수예술축제,고양호수예술축제,300,문화축제
31883,Mar-23,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,80,문화축제
31884,Mar-23,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,70,문화축제
31885,Mar-23,306,2019 군포철쭉축제,군포철쭉축제,10940,문화축제
31886,Mar-23,223,2019 금정산성축제,금정산성축제,330,문화축제
31887,Mar-23,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
31888,Mar-23,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,150,문화축제
